name,state_code,latitude,longitude,elevation
Allansford,VIC,-38.38647,142.59067,15
Allanson,WA,-33.33753,116.09806,191
Allawah,NSW,-33.97002,151.11452,55
Alleena,NSW,-34.10946,147.14097,284
Allenby Gardens,SA,-34.90433,138.55515,18
Allendale,VIC,-37.36871,143.93855,479
Allendale East,SA,-38.00337,140.70894,16
Allendale North,SA,-34.30398,138.91766,277
Allens Rivulet,TAS,-43.01068,147.20406,148
Allenstown,QLD,-23.38894,150.50287,13
Allenview,QLD,-27.90126,152.93908,36
Allestree,VIC,-38.27035,141.65616,10
Allgomera,NSW,-30.8161,152.83137,51
Alligator Creek,QLD,-21.32393,149.21106,16
Alligator Creek,QLD,-19.42492,146.9472,26
Allora,QLD,-28.03585,151.98272,473
Alloway,QLD,-24.95238,152.36214,29
Allworth,NSW,-32.54169,151.96093,20
Allynbrook,NSW,-32.36334,151.53623,89
Alma,SA,-34.26662,138.63086,177
Alma,VIC,-37.02881,143.67682,212
Alma,WA,-28.23338,114.69358,281
Almaden,QLD,-17.34006,144.67813,498
Alma Park,NSW,-35.60413,146.79169,213
Almonds,VIC,-36.22497,146.06069,177
Almurta,VIC,-38.45863,145.58388,66
Alonnah,TAS,-43.32148,147.24218,5
Aloomba,QLD,-17.11626,145.83486,13
Alpha,QLD,-23.64966,146.64107,353
Alphington,VIC,-37.78077,145.03116,38
Alpine,NSW,-34.40952,150.52396,605
Alpurrurulam,NT,-20.98411,137.85075,201
Alsace,QLD,-23.27589,149.35051,134
Alstonvale,NSW,-28.80561,153.44548,129
Alstonville,NSW,-28.84213,153.44036,150
Altona,SA,-34.59717,138.91362,233
Altona,VIC,-37.86928,144.83029,8
Altona Meadows,VIC,-37.87163,144.77808,11
Altona North,VIC,-37.83471,144.84768,17
Alton Downs,QLD,-23.30718,150.38804,29
Alumy Creek,NSW,-29.64092,152.95145,5
Alva,QLD,-19.4575,147.48173,7
Alvie,VIC,-38.24432,143.4819,120
Alyangula,NT,-13.85287,136.42249,27
Amamoor,QLD,-26.34524,152.67499,74
Amamoor Creek,QLD,-26.35952,152.56331,128
Amaroo,ACT,-35.17033,149.12588,631
Amaroo,NSW,-33.16432,148.92084,626
Amaroo,QLD,-23.39387,139.67312,119
Amata,SA,-26.15662,131.14472,694
Ambania,WA,-28.69532,115.1188,235
Ambarvale,NSW,-34.08047,150.80364,86
Amber,QLD,-17.74731,144.31566,408
Ambergate,WA,-33.71163,115.32628,21
Amberley,QLD,-27.64043,152.7024,42
Ambleside,TAS,-41.20612,146.37295,15
Ambrose,QLD,-23.78568,150.9268,36
Amby,QLD,-26.54921,148.1869,354
Amelup,WA,-34.23847,118.22088,185
American Beach,SA,-35.77694,137.8765,28
American River,SA,-35.77305,137.77996,15
Amherst,VIC,-37.14647,143.67017,254
Amiens,QLD,-28.58362,151.80109,871
Amity,QLD,-27.39789,153.43908,7
Amoonguna,NT,-23.76847,133.93067,546
Amor,VIC,-37.94124,146.3998,521
Amosfield,NSW,-28.62402,152.06643,870
Amphitheatre,VIC,-37.18234,143.39992,280
Ampilatwatja,NT,-21.65288,135.22453,399
Amyton,SA,-32.60343,138.32739,316
Anabranch North,NSW,-33.29636,141.80229,42
Anabranch South,NSW,-33.54487,141.73014,56
Anakie,VIC,-37.93803,144.2847,136
Anama,SA,-33.68676,138.56545,373
Anambah,NSW,-32.67607,151.49513,13
Anangu Pitjantjatjara Yankunytjatjara,SA,-27.07839,131.20589,498
Anatye,NT,-23.37944,136.49541,256
Ancona,VIC,-36.97227,145.79054,324
Andamooka,SA,-30.4536,137.16498,109
Andamooka Station,SA,-30.77681,136.61509,103
Andergrove,QLD,-21.09694,149.18533,8
